ANNUAL,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,YEAR
53.14,1.47,3.16,5.79,3.41,3.92,9.99,8.85,3.66,0.16,4.12,3.79,4.82,2005
41.8,3.81,1.19,1.34,3.6,1.22,5.18,2.52,6.48,3.96,4.58,3.58,4.34,2006
31.08,4.67,2.42,3.7,1.82,1.56,3.21,2.99,1.78,1.31,1.58,0.89,5.15,2007
38.02,2.28,3.83,4.34,4.11,1.88,0.13,3.19,5.53,3.74,2.42,2.56,4.01,2008
52.83,2.98,2.97,6.93,4.23,4.32,3.29,1.78,1.21,5.52,5.17,5.76,8.67,2009
42.73,5.57,4.03,2.6,1.81,6.04,1.6,6.57,5.99,2.27,1.4,3.69,1.16,2010
45.96,2.28,4.12,7.09,3.24,3.33,2.49,5.23,0.97,6.87,1.99,4.39,3.96,2011
38.86,3.92,1.18,3.51,2.95,3.44,1.24,4.96,5.86,2.66,2.43,0.9,5.81,2012
69.56,5.27,3.88,3.52,4.72,5.77,9.43,14.45,7.31,2.5,1.91,4.13,6.67,2013
50.2,3.16,3.08,4.09,5.05,4.43,2.82,6.73,5.6,3.68,3.57,4.36,3.63,2014
59.75,3.86,3.46,2.09,6.18,3,3.02,1.52,2.41,5.56,9.44,9.13,10.08,2015
34.43,3.54,4.72,1.69,2.32,5.28,1.21,5.1,4.37,0.99,0.44,2.08,2.69,2016
53.11,4.52,1.2,7.35,7.3,5,4.04,4.81,3.75,4.22,7.28,0.73,2.91,2017
67.96,2.86,5.41,3.56,5.58,7.36,3.85,4.35,3.69,5.06,6.47,8.31,11.46,2018
51.9,5.53,6.72,2.87,4.15,1.77,4.77,3.73,6.76,0.18,4.98,3.43,7.01,2019
73.7,7.02,9.6,4.6,7.45,12.57,3.17,5.13,4.28,5.32,5.66,5.98,2.92,2020
49.03,4.45,4.49,5.58,1.91,4.46,6.9,5.96,3.24,3.33,4.6,1.2,2.91,2021
54.52,4.55,3.64,6.03,4.49,5.78,1.79,6.08,3.72,5.1,1.84,6.96,4.54,2022
51.95,7.74,3.25,4.07,10.12,4.67,5.68,3.77,5.12,0.72,0.8,1.08,4.93,2023
